Cycle 	RecivedFlits 	Throughput 	Throt. Num. 	Max. Temp.	Adaptive 	DOR 	DW 	Mid_Adaptive 	Mid_DOR 	Mid_DW 	Beltway
99000	4457897	44.579	0	85	4457897	0	0	0	0	0	0	
100000	1295	0.01295	0	89.7663	1295	0	0	0	0	0	0	
199000	4457106	44.5711	0	89.7663	4457106	0	0	0	0	0	0	
200000	1350	0.0135	0	93.3539	1350	0	0	0	0	0	0	
299000	4467840	44.6784	0	93.3539	4467840	0	0	0	0	0	0	
300000	1280	0.0128	0	96.2708	1280	0	0	0	0	0	0	
399000	4460644	44.6064	0	96.2708	4460644	0	0	0	0	0	0	
400000	1396	0.01396	0	98.7716	1396	0	0	0	0	0	0	
499000	4462106	44.6211	0	98.7716	4462106	0	0	0	0	0	0	
500000	1342	0.01342	0	100.905	1342	0	0	0	0	0	0	
599000	4452556	44.5256	0	100.905	4452556	0	0	0	0	0	0	
600000	1324	0.01324	0	102.771	1324	0	0	0	0	0	0	
699000	4457984	44.5798	0	102.771	4457984	0	0	0	0	0	0	
700000	1208	0.01208	0	104.489	1208	0	0	0	0	0	0	
799000	4469071	44.6907	0	104.489	4469071	0	0	0	0	0	0	
800000	1409	0.01409	0	106.073	1409	0	0	0	0	0	0	
